Substratum	Treatment_2	TH	n	SL	RL	NL	SDM	LDM	RDM	TDM	SMR	LMR	RMR	RAB	RLR
Soil	3_Soil	Without	1	12.5	10	3	0.0232	0.0228	0.0117	0.0577	0.40208	0.39515	0.20277	3.93162	0.51316
Soil	3_Soil	Without	1	11	9.5	2	0.0178	0.0152	0.0096	0.0426	0.41784	0.35681	0.22535	3.4375	0.63158
Soil	3_Soil	Without	6	8.85	6.8	2	0.0119	0.01013	0.00617	0.0282	0.42199	0.35934	0.21868	0.5955	0.60855
Soil	3_Soil	Without	3	10.067	5.333	5	0.01177	0.00973	0.0038	0.0253	0.46509	0.38472	0.1502	1.88596	0.39041
Soil	3_Soil	Without	1	12.8	11	3	0.0273	0.0251	0.0128	0.0652	0.41871	0.38497	0.19632	4.09375	0.50996
Soil	3_Soil	Without	2	14.75	9.5	4	0.03585	0.0254	0.01345	0.0747	0.47992	0.34003	0.18005	2.27695	0.52953
Soil	3_Soil	Without	1	10.5	4	3	0.0098	0.0107	0.0011	0.0216	0.4537	0.49537	0.05093	18.63636	0.1028
Soil	3_Soil	Without	3	8.333	8.833	2	0.0085	0.0068	0.00597	0.02127	0.39969	0.31975	0.28056	0.85475	0.87745
Soil	3_Soil	Without	2	9	6.6	3	0.0126	0.01065	0.0046	0.02785	0.45242	0.38241	0.16517	2.52717	0.43192
Soil	3_Soil	Without	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Soil	3_Soil	Without	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Soil	3_Soil	Without	1	12.5	8.5	3	0.0321	0.0355	0.0177	0.0853	0.37632	0.41618	0.2075	3.81921	0.49859
Soil	3_Soil	Without	1	15.8	10.2	3	0.0452	0.0462	0.0197	0.1111	0.40684	0.41584	0.17732	4.63959	0.42641
Soil	3_Soil	Without	1	13.5	14	3	0.058	0.0541	0.0262	0.1383	0.41938	0.39118	0.18944	4.27863	0.48429
Soil	3_Soil	Without	3	12.033	12.067	2	0.0258	0.0203	0.01253	0.05863	0.44002	0.34622	0.21376	1.22606	0.61741
Soil	3_Soil	Without	2	10	9.25	3	0.01855	0.0177	0.0111	0.04735	0.39176	0.37381	0.23442	1.63288	0.62712
Soil	3_Soil	Without	3	9.733	8.067	3	0.01637	0.01227	0.0066	0.03523	0.46452	0.34816	0.18732	1.44613	0.53804
Soil	3_Soil	Without	3	10.567	9.667	3	0.01863	0.01537	0.01017	0.04417	0.42189	0.34792	0.23019	1.11475	0.66161
Soil	3_Soil	Without	3	11.567	11.167	4	0.0157	0.0124	0.00793	0.03603	0.43571	0.34413	0.22017	1.18067	0.63978
Soil	3_Soil	Without	3	11.567	6.7	4	0.02203	0.0195	0.00927	0.0508	0.43373	0.38386	0.18241	1.494	0.47521
Soil	3_Soil	Without	1	13.5	12	3	0.0469	0.047	0.0259	0.1198	0.39149	0.39232	0.21619	3.62548	0.55106
Soil	3_Soil	Without	3	9.333	8.167	2	0.017	0.0177	0.01153	0.04623	0.3677	0.38284	0.24946	1.00289	0.6516
