Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Salada	Mechanics	Winter	14	4	1038.8440	55.9629	947.0736	38.2701	17680.0720	266691.4100	992.2535
Salada	Mechanics	Winter	21	2	6395.8690	57.6698	6243.8973	92.2716	15495.3197	180520.1000	753.6936
Salada	Mechanics	Winter	21	3	2622.3737	74.1701	2456.1320	92.3763	16730.3220	294750.7820	1652.5587
Salada	Mechanics	Winter	21	4	6409.3983	132.9599	6105.5620	149.9414	28012.0810	389357.8900	2326.3331
Salada	Mechanics	Winter	28	1	4074.2063	80.9487	3894.5230	108.4192	28267.4030	398490.8000	3728.6583
Salada	Mechanics	Winter	28	2	6808.0537	103.8056	6550.8260	231.4093	32756.6390	430896.6200	4426.6778
Salada	Mechanics	Winter	28	3	3445.2687	103.8056	3115.2670	196.2830	34971.9240	501640.0100	5698.4987
Salada	Mechanics	Winter	28	4	6497.5743	121.1065	6226.7107	155.7084	48805.1060	527412.5500	6612.3293
Salada	Mechanics	Winter	35	1	5126.1333	132.6405	4676.5653	340.2517	25365.1730	754074.3600	4330.8947
Salada	Mechanics	Winter	35	2	3997.4563	100.3876	3633.0667	272.9795	21694.2850	457564.4600	4476.6650
Salada	Mechanics	Winter	35	3	4351.9627	115.3396	4149.6090	138.7269	30311.7740	524066.1000	5315.3663
Salada	Mechanics	Winter	35	4	5267.4757	80.7377	4856.6643	271.4081	34450.2050	577573.5900	4350.6501
Salada	Mechanics	Winter	42	1	6206.7813	86.5047	5975.8250	121.1065	42457.0770	577871.0400	5730.5259
Salada	Mechanics	Winter	42	2	5829.0717	123.5055	5603.3200	98.0386	28927.7080	624928.4400	5764.9480
Salada	Mechanics	Winter	42	3	5063.4267	98.0386	4861.5627	74.9707	27156.9180	640509.6800	8284.6442
Salada	Mechanics	Winter	42	4	7141.0467	92.2716	6932.2613	149.9414	27371.8300	430831.1300	11062.3548
Salada	Mechanics	Winter	49	1	8515.4667	98.9687	8331.9267	93.2262	15147.2066	447256.1100	2958.2026
Salada	Mechanics	Winter	49	2	5088.4320	87.7857	4934.9673	81.7860	26479.8510	830160.0100	7792.2591
Salada	Mechanics	Winter	49	4	6705.8173	104.2829	6393.8610	235.0446	29714.9260	513884.3400	8862.6342
Salada	Mechanics	Winter	56	1	7065.4777	74.9707	6869.4953	122.5264	31006.2020	688682.0600	7090.6462
Salada	Mechanics	Winter	56	3	5763.2053	98.0386	5532.6233	133.0503	29220.4450	660007.0100	9941.6916
Salada	Mechanics	Winter	56	4	7135.7560	99.2142	6890.3817	144.1744	25086.5050	626858.4800	28914.5370
Salada	Mechanics	Summer	14	1	6746.4187	86.5047	6484.3943	145.4405	21019.0120	673279.5000	6014.8822
Salada	Mechanics	Summer	14	2	3397.0417	104.3766	3122.0820	165.1795	27140.1530	237527.8400	1582.2179
Salada	Mechanics	Summer	14	3	4305.5917	98.4485	3956.6150	227.0134	18857.0074	125218.4960	2743.5885
Salada	Mechanics	Summer	21	1	4469.7523	149.9414	4192.3937	121.5838	4780.7763	28151.8640	8316.3712
Salada	Mechanics	Summer	21	3	5371.0117	127.2834	4938.1713	260.0970	18483.1540	623169.3400	3721.7739
Salada	Mechanics	Summer	21	4	5148.3960	98.5159	4947.4627	107.8898	33117.0240	558565.1500	5694.3080
Salada	Mechanics	Summer	28	1	5934.7383	80.7377	5717.6610	98.5159	33689.9260	500821.9700	4344.9628
Salada	Mechanics	Summer	28	2	6081.4457	98.4485	5821.5517	140.4425	40825.1740	582301.6600	13654.4853
Salada	Mechanics	Summer	28	3	8703.4900	103.8056	8403.9170	201.8442	1051.8187	20165.0463	4435.6578
Salada	Mechanics	Summer	28	4	3262.7720	99.3413	3081.0567	80.8097	27113.8140	456638.3600	3481.4180
Salada	Mechanics	Summer	35	1	7273.4920	98.5159	7054.6033	157.2095	29709.5370	512539.7600	16344.4954
Salada	Mechanics	Summer	35	3	7131.9490	144.7951	6754.2230	219.8306	26519.0610	373959.2400	15470.7737
Salada	Mechanics	Summer	35	4	7245.2693	87.0757	6939.6650	219.8280	28810.3730	721898.8180	4786.1643
Salada	Mechanics	Summer	42	1	8585.7537	168.4852	8286.6697	167.5300	28926.5110	570314.0700	15770.0960
Salada	Mechanics	Summer	42	2	5903.4073	371.1418	5377.8590	147.0580	31805.3920	547142.0800	14690.1427
Salada	Mechanics	Summer	42	3	8176.1317	149.9414	7760.3843	260.6212	37808.9020	633282.5600	4034.5659
Salada	Mechanics	Summer	42	4	5377.9563	104.2829	5135.4693	144.4361	30833.1930	717448.7400	21750.5568
Salada	Mechanics	Summer	49	2	7656.3913	98.5159	7437.1277	109.5726	33407.0650	660197.6000	8028.4228
Salada	Mechanics	Summer	56	1	7024.6623	87.6468	6763.9480	117.5703	26302.3520	777467.5900	11758.2802
Salada	Mechanics	Summer	56	2	7791.5343	92.2716	7572.1213	115.3396	35492.4440	735786.2600	12885.2273
Salada	Mechanics	Summer	56	4	9218.3823	185.5833	8852.7347	190.5979	30154.9280	673687.4400	11647.2310
Salada	Natural	Winter	14	1	619.1061	50.9133	519.1369	51.0570	12103.9956	194274.8610	1094.9210
Salada	Natural	Winter	14	2	477.8438	65.2732	369.9356	44.0575	11206.3285	113265.0590	692.6319
Salada	Natural	Winter	14	3	267.2345	19.0550	227.9001	19.7117	15476.7611	244985.1460	443.8950
Salada	Natural	Winter	14	4	758.8263	32.0582	696.0882	26.7813	18918.9674	318723.8000	850.3747
Salada	Natural	Winter	21	1	2281.6027	55.1923	731.1163	150.7447	18284.7030	290864.6830	2090.1678
